,Mean,Std
F1,4283298.227814054,12361214.634236703
F2,8.161646487238666e+16,2.384704181717664e+17
F3,50568.51296881347,11075.88039457666
F4,512.6584706875773,29.174148162213523
F5,620.8074554606487,31.441724244854647
F6,629.6850674730625,7.993657798510824
F7,922.0893583480015,55.39182874383978
F8,895.2366953091549,17.227159951711585
F9,2507.95543836795,887.9262851291984
F10,8240.423073355312,438.15545420460376
F11,1241.3438994097048,48.82801621987134
F12,635731.2225199284,912860.459978321
F13,18564.085439523802,17722.518453066925
F14,21789.807839940557,18055.747975245195
F15,10816.899868095632,12091.671111478481
F16,2772.9434990108493,365.46605930655295
F17,2023.3054811783384,162.55374246362425
F18,622757.0623114095,403045.3993502254
F19,10561.53329756965,12548.00545175181
F20,2447.25627057016,165.39809037188786
F21,2398.1120538066766,21.247296002199214
F22,3077.1825699963106,2243.4487786672166
F23,2794.043023927358,37.62936481045621
F24,2960.742628832375,47.57185351405935
F25,2928.1234400665976,25.809816182113412
F26,5022.325265150447,1404.009923930938
F27,3260.7834446847005,31.550552837437806
F28,3263.7264668798007,28.764958942517225
F29,3986.1297820538543,215.36318899155913
F30,21343.3390837822,21723.532140391002
